team,total_matches,wins,win_rate,total_runs,total_balls,total_sixes,total_fours,run_rate
Mumbai Indians,284,153,53.87,43921,32971,1887,4005,7.99
Chennai Super Kings,259,145,55.98,40453,30396,1674,3537,7.99
Kolkata Knight Riders,272,136,50.0,40215,30652,1652,3740,7.87
Rajasthan Royals,243,120,49.38,37129,28018,1469,3446,7.95
Royal Challengers Bangalore,240,114,47.5,35810,27333,1488,3149,7.86
Sunrisers Hyderabad,203,98,48.28,31617,23613,1254,2766,8.03
Delhi Capitals,113,54,47.79,17975,13129,720,1705,8.21
Gujarat Titans,68,41,60.29,11458,7953,450,1078,8.64
Punjab Kings,81,40,49.38,13639,9317,720,1182,8.78
Lucknow Super Giants,66,32,48.48,10881,7777,539,902,8.39
Royal Challengers Bengaluru,38,24,63.16,6756,4204,380,584,9.64
